"","    [ALL]    "
"","   N=13097   "
"any_ipv:","             "
"    0","10578 (80.8%)"
"    1","2519 (19.2%) "
"w_age"," 30.8 (6.80) "
"w_edu:","             "
"    No edu","2772 (21.2%) "
"    Primary","1684 (12.9%) "
"    Secondary or higher","8641 (66.0%) "
"m_edu:","             "
"    No edu","1523 (11.6%) "
"    Primary","1654 (12.6%) "
"    Secondary or higher","9920 (75.7%) "
"wealth:","             "
"    Poorest","1823 (13.9%) "
"    Poorer","2502 (19.1%) "
"    Middle","2573 (19.6%) "
"    Richer","2668 (20.4%) "
"    Richest","3531 (27.0%) "
"residence:","             "
"    Urban","4619 (35.3%) "
"    Rural","8478 (64.7%) "
"boys_cat:","             "
"    Zero","3182 (24.3%) "
"    One","6419 (49.0%) "
"    Two+","3496 (26.7%) "
"girls_cat:","             "
"    Zero","4395 (33.6%) "
"    One","5390 (41.2%) "
"    Two+","3312 (25.3%) "
"caste:","             "
"    SC","2340 (17.9%) "
"    ST","2228 (17.0%) "
"    OBC","4691 (35.8%) "
"    GEN","3838 (29.3%) "
"religion:","             "
"    Hindu","9497 (72.5%) "
"    Muslim","1847 (14.1%) "
"    Other","1753 (13.4%) "
