"","     0      ","     1      "
"","  N=11437   ","   N=1660   "
"any_ipv:","            ","            "
"    0","9275 (81.1%)","1303 (78.5%)"
"    1","2162 (18.9%)","357 (21.5%) "
"w_age","31.2 (6.80) ","28.2 (6.21) "
"w_edu:","            ","            "
"    No edu","2451 (21.4%)","321 (19.3%) "
"    Primary","1466 (12.8%)","218 (13.1%) "
"    Secondary or higher","7520 (65.8%)","1121 (67.5%)"
"m_edu:","            ","            "
"    No edu","1343 (11.7%)","180 (10.8%) "
"    Primary","1447 (12.7%)","207 (12.5%) "
"    Secondary or higher","8647 (75.6%)","1273 (76.7%)"
"wealth:","            ","            "
"    Poorest","1578 (13.8%)","245 (14.8%) "
"    Poorer","2162 (18.9%)","340 (20.5%) "
"    Middle","2251 (19.7%)","322 (19.4%) "
"    Richer","2312 (20.2%)","356 (21.4%) "
"    Richest","3134 (27.4%)","397 (23.9%) "
"residence:","            ","            "
"    Urban","4111 (35.9%)","508 (30.6%) "
"    Rural","7326 (64.1%)","1152 (69.4%)"
"boys_cat:","            ","            "
"    Zero","2596 (22.7%)","586 (35.3%) "
"    One","5668 (49.6%)","751 (45.2%) "
"    Two+","3173 (27.7%)","323 (19.5%) "
"girls_cat:","            ","            "
"    Zero","3777 (33.0%)","618 (37.2%) "
"    One","4715 (41.2%)","675 (40.7%) "
"    Two+","2945 (25.7%)","367 (22.1%) "
"caste:","            ","            "
"    SC","1992 (17.4%)","348 (21.0%) "
"    ST","1976 (17.3%)","252 (15.2%) "
"    OBC","4092 (35.8%)","599 (36.1%) "
"    GEN","3377 (29.5%)","461 (27.8%) "
"religion:","            ","            "
"    Hindu","8322 (72.8%)","1175 (70.8%)"
"    Muslim","1568 (13.7%)","279 (16.8%) "
"    Other","1547 (13.5%)","206 (12.4%) "
